finding_id	severity	status	remediation_evidence	regression_evidence	formal_claims_or_gate
csf_77471dfb1eb21cd31e16d8ff	medium	closed	Lean negative manifests pin the intended theorem/witness and reject deletion or unrelated replacement	failure manifest checker self-tests	lean-negative
csf_0e7af546faea990eb79990cb	medium	closed	Lean gate prints axioms and rejects project-local axioms from release witnesses	test_ci_guards axiom fixtures	lean
csf_cf87e82fdd34141dc6d27ebf	medium	closed	chain-key governance can schedule and execute an atomic four-role recovery rotation through Timelock	confirmed_control_plane_rotation_atomically_switches_all_keys_and_resets_nonces; batch ABI known answer	governance_nonce_chain_binding; activation_preflight
csf_ac79a485bf1be92aca855124	low	closed	notification admission reserves separate verification and new-liability settlement slots	new_notifications_preserve_cycles_for_every_existing_asset_liability	notification_quota_isolation; signing_cycle_reserve
csf_54fa0bf66c6830a007438bf2	medium	closed	proof impact includes proof-owned scripts, UI security boundaries, relayer, profiles, and release policy	test_ci_changed_areas; check_proof_impact reports zero unregistered files	proof-impact gate
csf_0180150f37c2789615f7794f	medium	closed	settlement lease strictly exceeds the longest sequential RPC step and is renewed using real update time	lease_strictly_exceeds_the_longest_sequential_rpc_step; lease_renewal_uses_real_update_time_and_stale_generation_cannot_finish	lease_outcome
csf_3cbdde55941f8577326047af	low	closed	authorization installation reobserves current finalized Base policy before signature installation and fee commitment	authorization_install_requires_current_base_policy; stale snapshot tests	committed_quote; fee_accounting_once; authorization_binding
csf_668b0eceed3a85e4fec4b7e2	low	closed	liveness claims start from committed records, expose recovery rankings, and retain explicit keeper/external assumptions	Lean liveness negative witnesses; claim manifest dependency checks	withdrawal_eventually_paid; funded_deposit_eventually_minted_or_refunded; partial external assumptions
csf_83d809452af58b7d3f498aea	medium	closed	finality selects the maximum height reached by two providers then requires exact 2-of-3 identity at that height	staggered_finalized_heads_select_the_conservative_common_checkpoint; exact identity tests	withdrawal_finality_quorum
csf_2c034356df53a8032936d504	high	closed	Solidity AST gate closes the mint wrapper call set, rejects assembly/low-level calls, pins digest body and all reject reasons	AST mutant tests; Halmos/SMT negative manifests; mint transaction tests	authorization_binding; exact_mint_finalization; deposit_backing
csf_71b28c07bdd3aea33ee150a4	medium	closed	proof ownership and mandatory tests separately cover mint, withdrawal, BSNS, administration, and Timelock symbols	claim-test-manifest selectors; generated refinement and Solidity negative fixtures	claim-manifest; refinement-gate; claim-transaction-tests
csf_2959ad530e2a1ed4e3552ce6	medium	closed	EpochInvalidation models EVM pause, signer, current epoch, authorization epoch, and retired signer state	pause/unpause/signer rotation tests; retired_signer_rejects_even_future_epoch_authorizations	epoch_invalidation
csf_eac8ca425fb82e9fe041d572	low	closed	each retryable funding dispatch consumes quota before the paid Base preflight while retaining the same Ledger identity	funding retry quota/window/identity tests	funding_attempt_lifecycle; deposit_admission
csf_abd7cc9797b58cea3368bef9	medium	closed	mint signer, governance operator, runtime administrator, and independent canceller use distinct derivation paths and activation checks	testOperationalRoleRotationRequiresTheTimelockAndRotatesAllMembersAtomically; control_plane_derivation_paths_are_role_and_generation_separated	activation_preflight; governance_nonce_chain_binding
csf_f70af6cd81cd6530b09df85f	low	closed	PendingQueue failure conjunct now preserves the original session queue rather than proving self-identity	Lean pending_queue_storage_failure_claim and failure mutation	pending_queue
csf_5be1bdecc71979b158a798a1	low	closed	mint deadlines are capped at 15 minutes; unpause requires signer rotation; retired signers cannot be reused	BridgeDeposit/admin tests; retired signer Lean theorem	epoch_invalidation; authorization_binding
csf_ec002e2b8f573a778bbbd6e0	medium	closed	normal governance, runtime emergency, and cancellation use independent signer/nonce/pending lanes; dangerous signing rechecks emergency state	signed_governance_transaction_cannot_block_emergency_nonce_lanes; completed_nonce_lanes_retain_independent_idempotency_records	governance_nonce_chain_binding
csf_0fb03a9f6748f96e27274a6d	high	closed	candidate scripts never enter the trusted Python import directory; execution uses immutable base policy scripts and isolated paths	trusted PR module-shadow and materialization tests	release_gate_policy
csf_e7f14d27844ea239f1631a09	high	closed	refund, withdrawal, and fee-payout reconciliation require the full dedup margin and a fresh post-boundary scan before new identity	reconciliation_scan_starts_only_after_dedup_and_permitted_drift; hold boundary tests	funding_reconciliation_freshness; payment_identity; hold_resolution
csf_15948d75b7b23af0ab89cc33	low	closed	cycle reserve token includes all nonterminal deposits and every reserve-sensitive call uses the complete liability formula	new_notifications_preserve_cycles_for_every_existing_asset_liability	settlement_backing; signing_cycle_reserve
csf_8b4f1165b1c9827464a0739a	low	closed	admission enforces a fail-closed lifetime cap of 100000 persistent deposit records before mutation	lifetime_deposit_budget_fails_closed_at_the_boundary	deposit_admission; deposit_identity_preflight
csf_379fba66e17333cfff1ac0b9	low	closed	browser destructive revert handling requires matching evidence from two distinct configured RPC hosts	keeps_a_single_provider_revert_when_independent_quorum_is_missing; duplicate URL and two-client quorum tests	withdrawal_finalization
csf_bebeefb41ce934ac5582c079	medium	closed	claim gate rejects True aliases/trivial wrappers and pins mandatory symbols plus statement semantics	claim manifest True-alias negative fixtures	claim-manifest; lean-negative
csf_b3f62c9e646d72a095f72e14	low	closed	Lean FinalizedIdentity includes both block number and hash and accepts only exact 2-of-3 identity	withdrawal finality vectors and Rust staggered identity tests	withdrawal_finality_quorum
