kind	id	specification	definitions	premises	conclusion	boundary	evidence	external	review_note
claim	epoch_invalidation	docs/canister-state-machine.md	BridgeSpec.ClaimContracts.EpochInvalidation	An existing authorization or retiredSigner≠replacementSigner	Rejects authorization reissuance and rejects the old signer even in future epochs	Signature recovery and EVM execution of epoch updates require separate evidence	claims.tsv:epoch_invalidation	claims.tsv:epoch_invalidation	Initial correspondence table. Propositions, dependent definitions, and external boundaries are registered separately.
claim	exact_mint_finalization	docs/canister-state-machine.md	BridgeSpec.ClaimContracts.ExactMintFinalization;BridgeSpec.MintAuthorization.MintEvidence.valid	completeMint is accepted	The successful receipt is at or below finalized, and deposit, recipient, and digest match the authorization	Nonzero hashes or RPC digests do not prove authenticity. Cryptography and canonicality are external assumptions	claims.tsv:exact_mint_finalization	claims.tsv:exact_mint_finalization	Initial correspondence table. Propositions, dependent definitions, and external boundaries are registered separately.
claim	expiry_refund	docs/canister-state-machine.md	BridgeSpec.ClaimContracts.ExpiryRefund;BridgeSpec.MintAuthorization.ExpiryEvidence.valid	startExpiredRefund is accepted	Unprocessed, matching deposit/digest, strictly past the deadline; preserves accounting backing	Finalized evidence authenticity and actual Ledger transfers are external boundaries	claims.tsv:expiry_refund	claims.tsv:expiry_refund	Initial correspondence table. Propositions, dependent definitions, and external boundaries are registered separately.
claim	fee_accounting_once	docs/canister-state-machine.md	BridgeSpec.ClaimContracts.FeeAccountingOnce;BridgeSpec.MintAuthorization.installSignature;BridgeSpec.signatureTimeAllowed;BridgeSpec.MintAuthorization.Authorization.valid	Accepted trace from the initial Deposit and signature installation	At most one fee credit; the fee delta at signing equals the authorization value	There is no complete proof connecting GlobalHistory and DepositHistory to production histories	claims.tsv:fee_accounting_once	claims.tsv:fee_accounting_once	Initial correspondence table. Propositions, dependent definitions, and external boundaries are registered separately.
claim	fee_payout	docs/canister-state-machine.md	BridgeSpec.ClaimContracts.FeePayout	feePayoutAllowed is accepted	Pending and new debits fit within the reserve; debit is accounted for only on success	Correctness of external transfer results and persistence are external boundaries	claims.tsv:fee_payout	claims.tsv:fee_payout	Initial correspondence table. Propositions, dependent definitions, and external boundaries are registered separately.
claim	fee_recipient_rotation	docs/canister-state-machine.md	BridgeSpec.ClaimContracts.FeeRecipientRotation	rotateFeeRecipient is accepted	Pending payout is zero; updates the recipient while preserving balances and previously accounted fees	Production authorization and SQL commit require separate evidence	claims.tsv:fee_recipient_rotation	claims.tsv:fee_recipient_rotation	Initial correspondence table. Propositions, dependent definitions, and external boundaries are registered separately.
claim	funding_attempt_lifecycle	docs/canister-state-machine.md	BridgeSpec.ClaimContracts.FundingAttemptLifecycle;BridgeSpec.Protocol.Safe;BridgeSpec.Protocol.filterSafeStoredState	Input is a funding outcome enum	Classifies success, duplicate, ambiguous, retryable, and definitive failure into their prescribed decisions	Decoding external results into the enum and SQL transactions require separate evidence	claims.tsv:funding_attempt_lifecycle	claims.tsv:funding_attempt_lifecycle	Initial correspondence table. Propositions, dependent definitions, and external boundaries are registered separately.
claim	funding_reconciliation_freshness	docs/canister-state-machine.md	BridgeSpec.ClaimContracts.FundingReconciliationFreshness;BridgeSpec.Protocol.Safe;BridgeSpec.Protocol.filterSafeStoredState	Inputs are absence, finalScan, and dedupExpired booleans	Distinguishes conditions requiring a fresh scan from conditions permitting release	Complete history, elapsed time, and scan result authenticity are external boundaries	claims.tsv:funding_reconciliation_freshness	claims.tsv:funding_reconciliation_freshness	Initial correspondence table. Propositions, dependent definitions, and external boundaries are registered separately.
claim	governance_confirmation_authorization	docs/canister-state-machine.md	BridgeSpec.ClaimContracts.GovernanceConfirmationAuthorization	The caller and current relayer, governance, and pause principals are represented as Nat	Accepts only a nonzero caller matching one of the three authorized principals	Correspondence between Nat zero and the anonymous Principal, and controller retrieval, are production boundaries	claims.tsv:governance_confirmation_authorization	claims.tsv:governance_confirmation_authorization	Initial correspondence table. Propositions, dependent definitions, and external boundaries are registered separately.
claim	governance_nonce_chain_binding	docs/canister-state-machine.md	BridgeSpec.ClaimContracts.GovernanceNonceChainBinding	A reachable ControlPlane state has a last governance chain	The governance chain matches the configured chain	Does not claim an RPC-observed chainId or resistance to provider chain switching	claims.tsv:governance_nonce_chain_binding	claims.tsv:governance_nonce_chain_binding	Initial correspondence table. Propositions, dependent definitions, and external boundaries are registered separately.
claim	governance_transaction_affordability	docs/canister-state-machine.md	BridgeSpec.ClaimContracts.GovernanceTransactionAffordability;BridgeSpec.ClaimContracts.governanceAffordabilityDecision	Decoded finalized and safe balances and a checked required amount	The decision reports their minimum and accepts exactly when both balances cover the required amount, including equality	External balance authenticity and fee-estimate adequacy remain assumptions; shared-expression Verus binds the production decision	claims.tsv:governance_transaction_affordability	claims.tsv:governance_transaction_affordability	Bind the conservative minimum and acceptance boundary to the production-shared decision and its negative fixture.
claim	hold_resolution	docs/canister-state-machine.md	BridgeSpec.ClaimContracts.HoldResolution	holdRetryAllowed is accepted	Exact success or complete absence exists	Evidence authenticity cannot be derived from input booleans	claims.tsv:hold_resolution	claims.tsv:hold_resolution	Initial correspondence table. Propositions, dependent definitions, and external boundaries are registered separately.
claim	initial_activation_authorization	docs/canister-state-machine.md	BridgeSpec.ClaimContracts.InitialActivationAuthorization	Inputs classify bootstrap, governance, sealed state, phase, and migration	Specifies bootstrap authorization and consumption, seal caller conditions, and migration classification	Unfolding the migration classification definition alone does not prove actual restoration	claims.tsv:initial_activation_authorization	claims.tsv:initial_activation_authorization	Initial correspondence table. Propositions, dependent definitions, and external boundaries are registered separately.
claim	lease_lane_isolation	docs/canister-state-machine.md	BridgeSpec.ClaimContracts.LeaseLaneIsolation;BridgeSpec.GlobalHistory.AccountingInvariant;BridgeSpec.GlobalHistory.Backed;BridgeSpec.GlobalHistory.eventDelta	The lane claim decision is allow	The target is inactive and below lane capacity	Lane input classification and the runtime dispatcher require separate evidence	claims.tsv:lease_lane_isolation	claims.tsv:lease_lane_isolation	Initial correspondence table. Propositions, dependent definitions, and external boundaries are registered separately.
claim	lease_outcome	docs/canister-state-machine.md	BridgeSpec.ClaimContracts.LeaseOutcome;BridgeSpec.GlobalHistory.AccountingInvariant;BridgeSpec.GlobalHistory.Backed;BridgeSpec.GlobalHistory.eventDelta	The lease outcome predicate and GlobalHistory update are accepted	The lease is active with a matching generation; preserves accounting invariants and other records	Async execution, SQL row selection, and external callback effects require separate evidence	claims.tsv:lease_outcome	claims.tsv:lease_outcome	Initial correspondence table. Propositions, dependent definitions, and external boundaries are registered separately.
claim	ledger_block_provenance	docs/canister-state-machine.md	BridgeSpec.ClaimContracts.LedgerBlockProvenance	An accepted trace installing Ledger indices	Preserves existing indices, rejects conflicts, and requires a funding index for refunds	Historical authenticity of index values and SQL row selection are external assumptions	claims.tsv:ledger_block_provenance	claims.tsv:ledger_block_provenance	Initial correspondence table. Propositions, dependent definitions, and external boundaries are registered separately.
claim	nonterminal_deposit_index_consistency	docs/canister-state-machine.md	BridgeSpec.ClaimContracts.NonterminalDepositIndexConsistency	Input is a DepositPhase	Only phases other than refunded, cancelled, and minted are indexed	SQL index maintenance and actual record scans require separate evidence	claims.tsv:nonterminal_deposit_index_consistency	claims.tsv:nonterminal_deposit_index_consistency	Initial correspondence table. Propositions, dependent definitions, and external boundaries are registered separately.
claim	notification_quota_isolation	docs/canister-state-machine.md	BridgeSpec.ClaimContracts.NotificationQuotaIsolation	Notification admission and ingestion predicates accept	Below global, caller, and ingestion limits; cooldown requires matching hashes and time before expiry	Persistent counters, period updates, and caller authenticity require separate evidence	claims.tsv:notification_quota_isolation	claims.tsv:notification_quota_isolation	Initial correspondence table. Propositions, dependent definitions, and external boundaries are registered separately.
claim	operational_config_seal	docs/canister-state-machine.md	BridgeSpec.ClaimContracts.OperationalConfigSeal	Inputs are sealed and candidateValid	Seals only when not already sealed and the candidate is valid; allows asset operations only when sealed	Correct construction of boolean inputs by callers and persistence require separate evidence	claims.tsv:operational_config_seal	claims.tsv:operational_config_seal	Initial correspondence table. Propositions, dependent definitions, and external boundaries are registered separately.
claim	paid_call_cycle_reserve	docs/canister-state-machine.md	BridgeSpec.ClaimContracts.PaidCallCycleReserve	reserve+attachedCycles+margin≤liquid, actual charge≤budget	Preserves the reserve after charging	Actual IC charges, refunds, and runtime accounting are external boundaries	claims.tsv:paid_call_cycle_reserve	claims.tsv:paid_call_cycle_reserve	Initial correspondence table. Propositions, dependent definitions, and external boundaries are registered separately.
claim	payment_identity	docs/canister-state-machine.md	BridgeSpec.ClaimContracts.PaymentIdentity;BridgeSpec.GlobalHistory.AccountingInvariant;BridgeSpec.GlobalHistory.Backed;BridgeSpec.GlobalHistory.eventDelta	A GlobalHistory payout or record update is accepted	The payout net amount and recipient match the record; records with other IDs remain unchanged	The callback's paid phase alone is not evidence of an actual transfer	claims.tsv:payment_identity	claims.tsv:payment_identity	Initial correspondence table. Propositions, dependent definitions, and external boundaries are registered separately.
claim	pending_queue	docs/bridge-flow.md	BridgeSpec.ClaimContracts.PendingQueue	An existing blocked entry or a storage write failure	Preserves blocked retries; on write failure, retains the session with no durable result	Web Locks and browser storage atomicity are external assumptions	claims.tsv:pending_queue	claims.tsv:pending_queue	Initial correspondence table. Propositions, dependent definitions, and external boundaries are registered separately.
claim	refund_evidence_enforcement	docs/canister-state-machine.md	BridgeSpec.ClaimContracts.RefundEvidenceEnforcement;BridgeSpec.MintAuthorization.ExpiryEvidence.valid	An accepted trace from the initial Deposit includes the start of an expired refund	Requires unprocessed status, matching deposit/digest, and strict expiry	RPC canonicality and history authenticity are external assumptions	claims.tsv:refund_evidence_enforcement	claims.tsv:refund_evidence_enforcement	Initial correspondence table. Propositions, dependent definitions, and external boundaries are registered separately.
claim	refund_request_authorization	docs/canister-state-machine.md	BridgeSpec.ClaimContracts.RefundRequestAuthorization	requestExpiredRefund is accepted after an accepted prefix	Requires authenticated=true and depositProcessed=false	Production evidence establishes that callers cannot change an existing record's recipient or amount	claims.tsv:refund_request_authorization	claims.tsv:refund_request_authorization	Initial correspondence table. Propositions, dependent definitions, and external boundaries are registered separately.
claim	reservation_commit	docs/canister-state-machine.md	BridgeSpec.ClaimContracts.ReservationCommit	Reservation arithmetic within finite-width bounds and an accepted reservation release	Preserves the reservation-plus-candidate total, releases to exactly zero, and rejects double release	The GlobalHistory release event itself contains no timing evidence	claims.tsv:reservation_commit	claims.tsv:reservation_commit	Initial correspondence table. Propositions, dependent definitions, and external boundaries are registered separately.
claim	reservation_lifecycle	docs/canister-state-machine.md	BridgeSpec.ClaimContracts.ReservationLifecycle;BridgeSpec.GlobalHistory.AccountingInvariant;BridgeSpec.GlobalHistory.Backed;BridgeSpec.GlobalHistory.eventDelta	A GlobalHistory reservation release event is accepted	Sets the reservation to exactly zero and rejects double release	Expiry decisions require separate DepositHistory and production evidence	claims.tsv:reservation_lifecycle	claims.tsv:reservation_lifecycle	Initial correspondence table. Propositions, dependent definitions, and external boundaries are registered separately.
claim	runtime_attestation_reuse	docs/canister-state-machine.md	BridgeSpec.ClaimContracts.RuntimeAttestationReuse	A reachable ControlPlane state has a reuse domain	The reuse domain matches the current install domain	Runtime immutability, correctness of warm observations, and persistence/reuse paths require separate evidence	claims.tsv:runtime_attestation_reuse	claims.tsv:runtime_attestation_reuse	Initial correspondence table. Propositions, dependent definitions, and external boundaries are registered separately.
claim	service_fee_maximum	docs/canister-state-machine.md	BridgeSpec.ClaimContracts.ServiceFeeMaximum;BridgeSpec.Protocol.Safe;BridgeSpec.Protocol.filterSafeStoredState	Local fee-bound predicates and Deposit signing history	Fee changes stay within fixed bounds; signing fees are accounted for once	The pending payout trace bound is a separate reserve property. A fee-configuration mapping for all executions is unproved	claims.tsv:service_fee_maximum	claims.tsv:service_fee_maximum	Initial correspondence table. Propositions, dependent definitions, and external boundaries are registered separately.
claim	settlement_backing	docs/canister-state-machine.md	BridgeSpec.ClaimContracts.SettlementBacking;BridgeSpec.GlobalHistory.AccountingInvariant;BridgeSpec.GlobalHistory.Backed;BridgeSpec.GlobalHistory.eventDelta	Initial accounting invariant and accepted history/payout	Preserves backing and applies prescribed deltas to escrow, feeReserve, and outstanding liabilities	Actual Ledger transfers and SQL atomicity are external boundaries	claims.tsv:settlement_backing	claims.tsv:settlement_backing	Initial correspondence table. Propositions, dependent definitions, and external boundaries are registered separately.
claim	signing_cycle_reserve	docs/canister-state-machine.md	BridgeSpec.ClaimContracts.SigningCycleReserve	reserve+signingCost+margin≤liquid, actual charge≤estimate	Preserves the reserve after billing	Correspondence between IC charges and estimates is an external assumption	claims.tsv:signing_cycle_reserve	claims.tsv:signing_cycle_reserve	Initial correspondence table. Propositions, dependent definitions, and external boundaries are registered separately.
claim	withdrawal_admission_boundary	docs/canister-state-machine.md	BridgeSpec.ClaimContracts.WithdrawalAdmissionBoundary	withdrawalIdAdmissible is accepted	The minimum is nonzero and observed is at least the minimum	Correspondence between Nat and 32-byte big-endian IDs is covered by a shared predicate and tests	claims.tsv:withdrawal_admission_boundary	claims.tsv:withdrawal_admission_boundary	Initial correspondence table. Propositions, dependent definitions, and external boundaries are registered separately.
claim	withdrawal_finality_quorum	docs/bridge-flow.md	BridgeSpec.ClaimContracts.WithdrawalFinalityQuorum	Selects a checkpoint from three providers' heads or identities	Two providers attest the height; the identity variant requires agreement on both height and hash	Correct provider chain configuration and response authenticity are external assumptions	claims.tsv:withdrawal_finality_quorum	claims.tsv:withdrawal_finality_quorum	Initial correspondence table. Propositions, dependent definitions, and external boundaries are registered separately.
claim	withdrawal_finalization	docs/bridge-flow.md	BridgeSpec.ClaimContracts.WithdrawalFinalization	Inputs are receipt success, canonicality, and block	Notify requires success, a block at or below finalized, and canonicality; missing finalized yields retry	Does not prove provider responses or the entire browser implementation	claims.tsv:withdrawal_finalization	claims.tsv:withdrawal_finalization	Initial correspondence table. Propositions, dependent definitions, and external boundaries are registered separately.
liveness	deposit_terminal_progress_lemmas	verification/conditional-liveness.md	BridgeSpec.Liveness.DepositTerminalProgressLemmas;BridgeSpec.Liveness.AdmissibleUntilOccurs;BridgeSpec.Liveness.CommonOperationalAssumptions;BridgeSpec.Liveness.WeakFair	Continuous admissibility of the target terminal operation, weak fairness, external availability from readyAt onward, and registered user/keeper actions	Conjunction of conditional mint and refund implications, not an either/or guarantee for one shared execution	Production scheduling and derivation of admissibility from receipt of funds are unproved. Excluded from release claims	conditional-liveness.tsv:deposit_terminal_progress_lemmas	conditional-liveness.tsv:deposit_terminal_progress_lemmas	Initial correspondence table. Distinguishes conditional lemmas from production reachability.
liveness	expired_deposit_eventually_refunded	verification/conditional-liveness.md	BridgeSpec.Liveness.ExpiredDepositEventuallyRefunded;BridgeSpec.Liveness.AdmissibleUntilOccurs;BridgeSpec.Liveness.CommonOperationalAssumptions;BridgeSpec.Liveness.WeakFair	Continuous admissibility of the target terminal operation, weak fairness, external availability from readyAt onward, and registered user/keeper actions	The target deposit reaches refunded	Production scheduling and derivation of admissibility from receipt of funds are unproved. Excluded from release claims	conditional-liveness.tsv:expired_deposit_eventually_refunded	conditional-liveness.tsv:expired_deposit_eventually_refunded	Initial correspondence table. Distinguishes conditional lemmas from production reachability.
liveness	funded_deposit_eventually_minted	verification/conditional-liveness.md	BridgeSpec.Liveness.FundedDepositEventuallyMinted;BridgeSpec.Liveness.AdmissibleUntilOccurs;BridgeSpec.Liveness.CommonOperationalAssumptions;BridgeSpec.Liveness.WeakFair	Continuous admissibility of the target terminal operation, weak fairness, external availability from readyAt onward, and registered user/keeper actions	The target deposit reaches minted	Production scheduling and derivation of admissibility from receipt of funds are unproved. Excluded from release claims	conditional-liveness.tsv:funded_deposit_eventually_minted	conditional-liveness.tsv:funded_deposit_eventually_minted	Initial correspondence table. Distinguishes conditional lemmas from production reachability.
liveness	funding_failure_eventually_cancelled	verification/conditional-liveness.md	BridgeSpec.Liveness.FundingFailureEventuallyCancelled;BridgeSpec.Liveness.AdmissibleUntilOccurs;BridgeSpec.Liveness.CommonOperationalAssumptions;BridgeSpec.Liveness.WeakFair	Continuous admissibility of the target terminal operation, weak fairness, external availability from readyAt onward, and registered user/keeper actions	The target deposit reaches cancelled	Production scheduling and derivation of admissibility from receipt of funds are unproved. Excluded from release claims	conditional-liveness.tsv:funding_failure_eventually_cancelled	conditional-liveness.tsv:funding_failure_eventually_cancelled	Initial correspondence table. Distinguishes conditional lemmas from production reachability.
liveness	withdrawal_eventually_paid	verification/conditional-liveness.md	BridgeSpec.Liveness.WithdrawalEventuallyPaid;BridgeSpec.Liveness.AdmissibleUntilOccurs;BridgeSpec.Liveness.CommonOperationalAssumptions;BridgeSpec.Liveness.WeakFair	Continuous admissibility of the target terminal operation, weak fairness, external availability from readyAt onward, and registered user/keeper actions	The target withdrawal reaches paid	Production scheduling and derivation of admissibility from receipt of funds are unproved. Excluded from release claims	conditional-liveness.tsv:withdrawal_eventually_paid	conditional-liveness.tsv:withdrawal_eventually_paid	Initial correspondence table. Distinguishes conditional lemmas from production reachability.
