runtime_toolchain	Lean kernel, Verus, Rust/LLVM, Solidity SMTChecker, Halmos/Z3, and Wasm/Solidity compilers implement their documented semantics.	committed_quote;settlement_backing;ledger_block_provenance;payment_identity;deposit_admission;deposit_identity_preflight;reservation_commit;service_fee_maximum;activation_preflight;governance_confirmation_authorization;governance_nonce_chain_binding;governance_transaction_affordability;signing_cycle_reserve;fee_recipient_rotation;fee_payout;hold_resolution;lease_outcome;notification_quota_isolation;lease_lane_isolation;funding_attempt_lifecycle;funding_reconciliation_freshness;withdrawal_finalization;withdrawal_admission_boundary;withdrawal_finality_quorum;pending_queue;canonical_probe;runtime_attestation_reuse;authorization_binding;expiry_refund;exact_mint_finalization;epoch_invalidation;reservation_lifecycle;fee_accounting_once;deposit_backing;refund_evidence_enforcement;refund_request_authorization;nonterminal_deposit_index_consistency;withdrawal_eventually_paid;funded_deposit_eventually_minted;expired_deposit_eventually_refunded;funded_deposit_eventually_minted_or_refunded;funding_failure_eventually_cancelled	scripts/ci-local.sh#run_proofs	proof gate records pinned tool versions and every proof result	abort release before deploy, handover, or activation
external_asset_state	External escrow and Base supply observations correspond to abstract EconomicState fields.	settlement_backing;deposit_backing;activation_preflight	canister/bridge-core/tests/generated_refinement.rs#protocol_settlement_cases_matches_production	monitor escrow, Base supply, fee reserve, and unpaid liability reconciliation	enter hold or pause settlement when observed backing diverges
evm_balance_observation	EVM RPC Safe and Finalized balance responses report the Governance Operator balance with Base fee semantics matching the configured fee ceilings.	governance_transaction_affordability	canister/bridge-canister/src/base_governance.rs#require_affordable	monitor provider quorum, Governance Operator balance, and configured fee ceilings	refuse to prepare or replace a Governance transaction when either balance observation is unavailable or insufficient
cryptographic_authenticity	Keccak and SHA-256 collision resistance, secp256k1 ECDSA recovery, threshold ECDSA key custody, and OpenZeppelin cryptography behave as specified.	deposit_identity_preflight;authorization_binding;exact_mint_finalization;epoch_invalidation	scripts/check_known_answer_manifest.py#main	run the registered Rust, Solidity, and TypeScript known-answer and field-mutation tests	reject identity derivation, authorization signing, or minting when a digest or recovered signer diverges
evm_atomicity	EVM execution rolls back processed flags, mint-window consumption, token supply, and events together when a mint transaction reverts.	deposit_admission;exact_mint_finalization;epoch_invalidation;fee_accounting_once;deposit_backing	contracts/test/BridgeInvariant.t.sol#invariantExposureIsConserved	run stateful failure-path invariants and monitor receipt status and exact event identity	reject failed receipts and retain the Deposit in reconciliation
ic_message_caller_authenticity	The IC runtime supplies the authenticated message caller without substitution; privileged confirmation, refund continuation, and Deposit continuation authorize the supplied Principal, while persisted records bind every economic destination and transfer identity.	governance_confirmation_authorization;refund_request_authorization;authorization_binding	canister/bridge-canister/src/base_governance.rs#confirmation_authorization_accepts_only_the_fixed_relayer_and_admin_recovery_callers;canister/bridge-canister/src/lib.rs#deposit_continuation_classification_is_fail_closed;integration/phase3.spec.ts#reauthorizes_confirmation_after_external_receipt_observation;integration/phase3.spec.ts#authenticated_relayer_refund_preserves_fixed_identity	monitor fixed-role confirmation, caller rotation during external observation, anonymous rejection, and fixed transfer identity	reject unauthorized requests before any external call and reauthorize confirmation before state transition
deployment_instance_uniqueness	An initialized persistent canister accepts current upgrades only when stable schema v35 and record wire v30 match the build. There is no legacy migration exception. Reinstall, changed deployment instances, and every old or unknown schema are unsupported; replacement staging uses a fresh canister and deployment instance while the retired test-only stack is excluded from every active profile, signer, and automation binding.	deposit_identity_preflight	scripts/plan007/check-upgrade-instance.mjs#verifyUpgradeInstance;scripts/plan007/sepolia_e2e.py#upgrade_instance_check	run the mandatory current-schema upgrade checker or fresh-install replacement gate with hash-bound runtime binding and canister status, then compare instance ID, integrity, retired-stack identity exclusion, and artifact identity	reject reinstall, legacy migrations, unsupported old or unknown schemas, changed current-upgrade instances, retired identity reuse, module-hash drift, state-count drift, and artifact divergence before activation
scheduler_weak_fairness	The execution dispatcher weakly fairly selects every continuously enabled automatic job or explicit user action; Withdrawal payout is enabled only by continue_withdrawal, not by the timer.	withdrawal_eventually_paid;funded_deposit_eventually_minted;expired_deposit_eventually_refunded;funded_deposit_eventually_minted_or_refunded;funding_failure_eventually_cancelled	canister/bridge-canister/src/scheduler.rs#dispatch_due;canister/bridge-canister/src/lib.rs#continue_withdrawal	monitor due-job age, selection lag, and unpaid Withdrawal continuation age	pause admission for starved automatic work; keep Withdrawal debt pending and expose explicit recovery
time_progress_and_cycles	Canister time advances and sufficient cycles remain available for automatic work and explicit Withdrawal continuation.	withdrawal_eventually_paid;funded_deposit_eventually_minted;expired_deposit_eventually_refunded;funded_deposit_eventually_minted_or_refunded;funding_failure_eventually_cancelled	canister/bridge-canister/src/scheduler.rs#dispatch_due;canister/bridge-canister/src/lib.rs#continue_withdrawal	monitor canister time and cycles balance	pause admission and replenish cycles
ic_consensus_time	ic_cdk consensus time is a nondecreasing Unix timestamp and is sampled by the Canister at Mint Authorization issuance; it is independent of the older Base Finalized evidence timestamp.	authorization_binding;reservation_lifecycle;fee_accounting_once	canister/bridge-core/tests/state_machine.rs#authorization_deadline_uses_issue_time_despite_twenty_or_thirty_minute_finality_lag;canister/bridge-core/tests/state_machine.rs#authorization_rejects_tampered_issue_time_wrong_deadline_and_overflow	compare persisted issued_at_timestamp and deadline against the 600-second production kernel relation and monitor IC time regressions	stop authorization signing before fee accounting when IC consensus time is unavailable, regresses, or cannot form issued_at_timestamp plus 600 without overflow
eventual_storage_commit	A retried SQLite transaction eventually commits.	withdrawal_eventually_paid;funded_deposit_eventually_minted;expired_deposit_eventually_refunded;funded_deposit_eventually_minted_or_refunded;funding_failure_eventually_cancelled	canister/bridge-canister/src/storage/mod.rs#claim_settlement_job_transaction	monitor transaction failures and retry age	retain the job and retry without applying external effects twice
eventual_external_resolution	EVM or Ledger eventually returns exact success or complete absence for the tracked identity.	withdrawal_eventually_paid;funded_deposit_eventually_minted;expired_deposit_eventually_refunded;funded_deposit_eventually_minted_or_refunded;funding_failure_eventually_cancelled	canister/bridge-canister/src/scheduler.rs#run_claimed_inner	monitor finality and reconciliation lag	retain reconciliation hold and alert operators
eventual_user_action	For a funded Deposit, its owner eventually submits the exact Base mint authorization transaction.	funded_deposit_eventually_minted;funded_deposit_eventually_minted_or_refunded	ui/src/features/bridge/mint-authorization-action.tsx#MintAuthorizationAction	monitor authorization age and owner mint action	leave the Deposit safely pending and expose mint instructions
eventual_keeper_action	For every expired refundable Deposit and unpaid Withdrawal, some non-anonymous Principal eventually invokes the permissionless continuation endpoint as many times as its finite recovery path requires.	withdrawal_eventually_paid;expired_deposit_eventually_refunded;funded_deposit_eventually_minted_or_refunded	canister/bridge-canister/src/lib.rs#request_deposit_refund;canister/bridge-canister/src/lib.rs#continue_withdrawal	monitor expired refundable Deposit age and unpaid Withdrawal continuation age	leave funds or debt safely pending and alert keepers without changing the bound transfer identity
ledger_fee_immutability	The production KINIC Ledger transfer fee remains exactly 100000 raw, while the test-deployment TICRC1 Ledger fee remains exactly 10000 raw. The reviewed build and release profile pin the selected constant; runtime settlement uses that fixed constant and does not query icrc1_fee before each transfer.	withdrawal_eventually_paid;expired_deposit_eventually_refunded;funded_deposit_eventually_minted_or_refunded	canister/bridge-canister/src/ledger.rs#KINIC_LEDGER_FEE;tools/bridge-profile/src/main.rs#validate_profile	monitor the live Ledger fee out of band and compare it with the environment-specific reviewed constant	do not claim the affected liveness properties when the observed fee differs; retain the fixed transfer identity and restore the reviewed baseline before resuming
no_permanent_pause	The target flow is not kept permanently paused by administrative action.	withdrawal_eventually_paid;funded_deposit_eventually_minted;expired_deposit_eventually_refunded;funded_deposit_eventually_minted_or_refunded;funding_failure_eventually_cancelled	canister/bridge-canister/src/base_governance.rs#confirm	monitor pause duration and unresolved activation preconditions	keep safety pause active and do not claim liveness until resumed
terminal_transition_admissibility	For each liveness claim, the exact terminal event remains accepted by the production state machine from the modeled ready point until it occurs. This is an explicit unsupported boundary, not a derived recovery theorem.	withdrawal_eventually_paid;funded_deposit_eventually_minted;expired_deposit_eventually_refunded;funded_deposit_eventually_minted_or_refunded;funding_failure_eventually_cancelled	verification/lean/BridgeSpec/Liveness.lean#AdmissibleUntilOccurs;verification/lean/BridgeSpec/Liveness.lean#common_enables_without_user;verification/lean/BridgeSpec/Liveness.lean#common_enables_with_user;verification/lean/BridgeSpec/Liveness.lean#common_enables_with_keeper	replay transition and failure-path tests for every ready-state phase and monitor jobs that remain ready without producing a valid step	keep these liveness claims partial; retain safe pending state and investigate any transition that ceases to be admissible
